0,0,5
0,1,3
0,2,4
0,3,3
0,4,3
0,5,5
0,6,4
0,7,1
0,8,5
0,9,3
0,10,2
0,11,5
0,12,5
0,13,5
0,14,5
0,15,5
0,16,3
0,17,4
0,18,5
0,19,4
1,0,4
1,9,2
1,12,4
1,13,4
1,18,3
3,10,4
4,0,4
4,1,3
4,16,4
5,0,4
5,6,2
5,7,4
5,8,4
5,11,4
5,12,2
5,13,5
5,14,3
5,18,4
6,3,5
6,6,5
6,7,5
6,8,5
6,9,4
6,10,3
6,11,5
7,6,3
7,10,3
8,5,5
8,6,4
9,0,4
9,3,4
9,6,4
9,8,4
9,10,4
9,11,5
9,12,3
9,15,4
10,7,4
10,8,5
10,10,2
10,11,2
10,14,5
11,3,5
11,14,5
12,0,3
12,1,3
12,3,5
12,4,1
12,6,2
12,7,4
12,8,3
12,10,1
12,11,5
12,12,5
12,13,4
12,16,1
13,6,5
13,8,4
13,11,5
13,12,4
13,13,3
13,14,4
13,17,3
13,18,5
14,0,1
14,6,1
14,8,4
14,12,1
14,13,4
14,14,4
14,17,1
14,19,3
15,0,5
15,3,5
15,6,5
15,7,5
15,8,5
15,10,5
15,11,5
15,14,5
16,0,4
16,6,4
16,8,3
16,12,3
17,0,5
17,3,3
17,5,5
17,7,5
17,8,5
17,11,5
17,12,5
17,13,5
17,14,4
17,18,3
18,3,4
18,7,5
19,0,3
19,10,2
19,14,4
